ID PROCESSO;CODIDCE PRODOTTO;CODICE CHIMICA;CODICE SACCO;PESO REALE SACCO;CODICI COMPONENTI PESO;CODICE COLORE;CODICE CLIENTE;DATA DI PRODUZIONE;CODICE OPERATORE;CODICE COMPONENTE IN;TIPO PROCESSO;INFO 1;INFO 2;INFO 3;INFO 4;INFO 5;INFO 6;INFO 7;INFO 8;INFO 9;INFO 10
61 ;COL28;KCOL2500000756924;1111;1240;146_0.3_0.188_0;;Cliente sconosciuto;2021-05-20 08:31:25.0;null;;null;null;null;null;null;null;null;null;null;null;null
62 ;COL28;KCOL2500000756924;///;1320;146_0.3_0.188_0;;Cliente sconosciuto;2021-05-20 08:33:07.0;null;;null;null;null;null;null;null;null;null;null;null;null
63 ;COL28;KCOL2500000756924;11111;220;146_0.3_0.188_0;;Cliente sconosciuto;2021-05-20 08:33:45.0;null;;null;null;null;null;null;null;null;null;null;null;null
64 ;COL28;KCOL2500000756924;1111;1440;146_0.3_0.188_0;;Cliente sconosciuto;2021-05-20 08:34:58.0;null;;null;null;null;null;null;null;null;null;null;null;null
65 ;COL28;KCOL2500000744137;YYYHHH;110;188_0.3_0.187_0;;Cliente sconosciuto;2021-05-20 08:59:47.0;null;;null;null;null;null;null;null;null;null;null;null;null
66 ;COL28;KCOL2500000744137;IUJJ;230;188_0.3_0.187_0;;Cliente sconosciuto;2021-05-20 09:00:12.0;null;;null;null;null;null;null;null;null;null;null;null;null
67 ;COL28;KCOL2500000744137;UUJJJ;200;188_0.3_0.187_0;;Cliente sconosciuto;2021-05-20 09:00:40.0;null;;null;null;null;null;null;null;null;null;null;null;null
68 ;COL28;KCOL2500000744137;UJJJ;610;188_0.3_0.187_0;;Cliente sconosciuto;2021-05-20 09:01:10.0;null;;null;null;null;null;null;null;null;null;null;null;null
69 ;COL28;KCOL2500000744138;TGGGG;100;188_100.3_200.187_-50;;Cliente sconosciuto;2021-05-20 09:02:42.0;null;;null;null;null;null;null;null;null;null;null;null;null
70 ;COL28;KCOL2500000744138;YYYHH;480;188_100.3_200.187_-50;;Cliente sconosciuto;2021-05-20 09:03:07.0;null;;null;null;null;null;null;null;null;null;null;null;null
71 ;COL28;KCOL2500000744138;UJJJ;430;188_100.3_200.187_-50;;Cliente sconosciuto;2021-05-20 09:03:29.0;null;;null;null;null;null;null;null;null;null;null;null;null
72 ;COL28;KCOL2500000744138;IKKKJ;300;188_100.3_200.187_-50;;Cliente sconosciuto;2021-05-20 09:03:49.0;null;;null;null;null;null;null;null;null;null;null;null;null
73 ;COL28;KCOL2500000756923;11;780;188_0.3_0.187_0;;Cliente sconosciuto;2021-05-20 09:16:24.0;null;;null;null;null;null;null;null;null;null;null;null;null
74 ;COL28;KCOL2500000756923;111;1070;188_0.3_0.187_0;;Cliente sconosciuto;2021-05-20 09:17:26.0;null;;null;null;null;null;null;null;null;null;null;null;null
75 ;COL28;KCOL2500000756923;11;860;188_0.3_0.187_0;;Cliente sconosciuto;2021-05-20 09:18:28.0;null;;null;null;null;null;null;null;null;null;null;null;null
76 ;COL28;KCOL2500000756923;HU;1140;188_0.3_0.187_0;;Cliente sconosciuto;2021-05-20 09:19:25.0;null;;null;null;null;null;null;null;null;null;null;null;null
77 ;COL28;KCOL2500000756924;UJJJ;24590;188_-100.3_0.187_0;;Cliente sconosciuto;2021-05-20 10:28:35.0;null;;null;null;null;null;null;null;null;null;null;null;null
78 ;COL28;KCOL2500000756924;TGGG;24630;188_-100.3_0.187_0;;Cliente sconosciuto;2021-05-20 10:29:33.0;null;;null;null;null;null;null;null;null;null;null;null;null
79 ;COL28;KCOL2500000756924;YHHH;24660;188_-100.3_0.187_0;;Cliente sconosciuto;2021-05-20 10:30:22.0;null;;null;null;null;null;null;null;null;null;null;null;null
